pit_lap,total_race_time_seconds,time_gap_to_best
16,5281.427000000001,6.960000000000036
17,5280.351999999999,5.884999999998399
18,5279.367,4.899999999999636
19,5278.472,4.0049999999992
20,5277.6669999999995,3.1999999999989086
21,5276.952000000001,2.485000000000582
22,5276.327,1.8599999999996726
23,5275.792,1.324999999999818
24,5275.347,0.8799999999991996
25,5274.992,0.5249999999996362
26,5274.727,0.2599999999993088
27,5274.552,0.08499999999912689
28,5274.467000000001,0.0
29,5274.472000000001,0.005000000000109139
30,5274.566999999999,0.09999999999854481
31,5274.7519999999995,0.284999999998945
32,5275.027,0.5599999999994907
